id_alumno,Carrera/Titulo,plan_nombre,año_ingreso,egresado de,porcentaje_avance,cant_aprobadas,promedio_con_aplazo,promedio_sin_aplazo,cnt_materias,año_reinsc,cant_equiv,sexo,cant_hijos,situacion_padre,situacion_madre,tipo_vivienda,loc_per_lect,loc_origen,costeo_familiar,costeo_social,costeo_trabajo,costeo_beca,costeo_otro,trabajo_hace,trabajo_existe,trabajo_ocupacion,horas_sem,trabajo_carrera,trabajo_descripcion,mot_vocacion,mot_sugerencia_familiar,mot_reconocimiento_social,mot_insercion_laboral,mot_perfil_profesional,mot_mejora_economica,mot_util_sociedad,mot_otros_p
812,Licenciatura en Sistemas de Información,2010,2017,,"37,14",13,"7,77","8,08",35,2024,0,Masculino,No tiene,V,V,Sin Dato,NOGOYA,NOGOYA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,S,N,N,N
666,Licenciatura en Sistemas de Información,2010,2016,,"37,14",13,"5,21","7,54",35,2024,0,Masculino,No tiene,N,V,Sin Dato,VICTORIA,ORO VERDE,S,N,N,S,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,S,N,S,S,S
1398,Licenciatura en Sistemas de Información,2010,2021,,"37,14",13,"7,67","8,31",35,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1383,Licenciatura en Sistemas de Información,2010,2021,,"37,14",13,"7,85","7,85",35,2024,4,Masculino,No tiene,D,D,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1608,Licenciatura en Sistemas de Información,2010,2022,,"37,14",13,"7,24","8,31",35,2024,2,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Parcial,ENCARGADO DE INGRESOS EN EL ÁREA ADMINISTRATIVA.,N,N,N,N,N,N,N,N
1506,Licenciatura en Sistemas de Información,2010,2022,,"37,14",13,"7,60","8,31",35,2024,0,Femenino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,S,N,N,N,N,N,N,N
973,Licenciatura en Sistemas de Información,2010,2018,,"37,14",13,"7,50","7,85",35,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,N,N,S,N,N,Cuenta propia / Independiente,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,EMPLEADO,N,N,N,N,N,N,N,N
966,Licenciatura en Sistemas de Información,2010,2018,,"37,14",13,"6,87","7,54",35,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Cuenta propia / Independiente,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Sin relación,Pintor,N,N,N,N,N,N,N,N
1702,Análisis de Sistemas,2010,2022,,"34,78",8,"8,63","8,63",23,2024,8,Masculino,No tiene,V,V,Casa / Departamento propio,ALDEA VALLE MARIA,ALDEA VALLE MARIA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1730,Análisis de Sistemas,2010,2022,,"34,78",8,"8,13","8,13",23,2024,0,Femenino,No tiene,V,V,Casa / Departamento alquilado,ORO VERDE,CEIBAS,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1435,Análisis de Sistemas,2010,2021,,"34,78",8,"5,31","7,13",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,ORO VERDE,CRESPO,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1385,Análisis de Sistemas,2010,2021,,"34,78",8,"6,91","8,25",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,GENERAL RAMIREZ,GENERAL RAMIREZ,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1585,Análisis de Sistemas,2010,2022,,"34,78",8,"7,89","8,75",23,2024,0,Femenino,No tiene,V,V,Casa / Departamento alquilado,ORO VERDE,MARIA GRANDE,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,S
1369,Análisis de Sistemas,2010,2021,,"34,78",8,"7,20","8,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,ORO VERDE,ORO VERDE,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,S,N,N
1470,Análisis de Sistemas,2010,2021,,"34,78",8,"7,72","7,75",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1782,Análisis de Sistemas,2010,2023,,"34,78",8,"7,72","7,75",23,2024,0,Masculino,No tiene,N,V,Casa / Departamento alquilado,PARANA,PARANA,N,N,N,N,S,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1825,Análisis de Sistemas,2010,2023,,"34,78",8,"7,88","7,88",23,2024,1,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1930,Análisis de Sistemas,2010,2023,,"34,78",8,"6,80","7,75",23,2024,1,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1738,Análisis de Sistemas,2010,2022,,"34,78",8,"8,38","8,38",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1926,Análisis de Sistemas,2010,2023,,"34,78",8,"8,38","8,38",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,S,S,S,N,Pasante,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Sin relación,TOMAR PEDIDOS Y COBRAR.,N,N,N,N,N,N,N,N
1745,Análisis de Sistemas,2010,2019,,"34,78",8,"8,25","8,25",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1831,Análisis de Sistemas,2010,2023,,"34,78",8,"8,25","8,25",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Cuenta propia / Independiente,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Parcial,SERVICIO TÉCNICO,N,N,N,N,N,N,N,N
1787,Análisis de Sistemas,2010,2023,,"34,78",8,"8,00","8,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1887,Análisis de Sistemas,2010,2023,,"34,78",8,"8,00","8,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1863,Análisis de Sistemas,2010,2023,,"34,78",8,"7,67","8,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1898,Análisis de Sistemas,2010,2023,,"34,78",8,"7,22","7,63",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1390,Análisis de Sistemas,2010,2017,,"34,78",8,"6,70","7,50",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1916,Análisis de Sistemas,2010,2023,,"34,78",8,"5,91","7,38",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1891,Análisis de Sistemas,2010,2023,,"34,78",8,"8,63","8,63",23,2024,0,Femenino,No tiene,V,V,Otros,PARANA,PARANA,S,N,N,S,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1781,Análisis de Sistemas,2010,2022,,"34,78",8,"8,13","8,13",23,2024,0,Masculino,No tiene,V,V,Otros,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1813,Análisis de Sistemas,2010,2023,,"34,78",8,"7,11","7,5",23,2024,1,Femenino,No tiene,V,V,Sin Dato,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1021,Análisis de Sistemas,2010,2018,,"34,78",8,"6,90","8,13",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,N,N,S,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
519,Análisis de Sistemas,2010,2015,,"34,78",8,"6,00","7,5",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
874,Análisis de Sistemas,2010,2017,,"34,78",8,"4,43","7,50",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
"17,57",Análisis de Sistemas,2010,2022,,"34,78",8,"7,38","7,38",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
865,Análisis de Sistemas,2010,2017,,"34,78",8,"5,00","7,13",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1865,Análisis de Sistemas,2010,2023,,"34,78",8,"8,13","8,13",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,SAN BENITO,SAN BENITO,S,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1312,Análisis de Sistemas,2010,2019,,"34,78",8,"6,82","7,88",23,2024,0,Femenino,No tiene,V,V,Sin Dato,ORO VERDE,UBAJAY,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1469,Licenciatura en Sistemas de Información,2010,2021,,"34,29",12,"7,31","7,75",35,2024,5,Masculino,No tiene,V,V,Casa / Departamento alquilado,PARANA,PARANA,S,N,S,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,S,N,N
1896,Licenciatura en Sistemas de Información,2010,2023,,"34,29",12,"7,00","7,92",35,2024,3,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
961,Licenciatura en Sistemas de Información,2010,2018,,"34,29",12,"6,73","7,67",35,2024,0,Masculino,No tiene,N,N,Sin Dato,SAN BENITO,SAN BENITO,S,N,S,S,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,S,N,N,S,S,N,N,N
"127,5",Licenciatura en Sistemas de Información,2010,2019,,"31,43",11,"6,25","7,18",35,2024,0,Masculino,No tiene,V,V,Sin Dato,DIAMANTE,DIAMANTE,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1181,Licenciatura en Sistemas de Información,2010,2018,,"31,43",11,"5,50","7,09",35,2024,1,Masculino,No tiene,V,V,Sin Dato,HERNANDEZ,HERNANDEZ,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
594,Licenciatura en Sistemas de Información,2010,2015,,"31,43",11,"6,35","7,73",35,2024,0,Masculino,No tiene,V,V,Sin Dato,LIBERTADOR GENERAL SAN MARTIN,LIBERTADOR GENERAL SAN MARTIN,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Sin relación,OPERARIO,N,N,N,N,N,N,N,N
1400,Licenciatura en Sistemas de Información,2010,2021,,"31,43",11,"7,50","7,82",35,2024,0,Masculino,No tiene,N,V,Casa / Departamento propio,ORO VERDE,ORO VERDE,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1672,Licenciatura en Sistemas de Información,2010,2022,,"31,43",11,"6,33","7,45",35,2024,0,Masculino,No tiene,Sin Dato,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1180,Licenciatura en Sistemas de Información,2010,2018,,"31,43",11,"6,22","7,91",35,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1064,Licenciatura en Sistemas de Información,2010,2018,,"31,43",11,"7,45","7,45",35,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,N,N,S,N,N,Cuenta propia / Independiente,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Hasta 10 horas,Parcial,TÉCNICO TALLER DE ELECTRÓNICA,N,N,N,N,N,N,N,N
395,Licenciatura en Sistemas de Información,2010,2014,,"31,43",11,"5,30","7,10",35,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Más de 20 y hasta 35 horas,Total,Soporte Tecnico,N,N,N,N,N,N,N,N
810,Licenciatura en Sistemas de Información,2010,2017,,"31,43",11,"6,38","8,09",35,2024,0,Masculino,No tiene,V,V,Sin Dato,SAN BENITO,SAN BENITO,S,N,N,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Sin relación,Tapiceria,N,N,N,N,N,N,N,N
1241,Análisis de Sistemas,2010,2019,,"30,43",7,"7,00","7,86",23,2024,0,Masculino,No tiene,V,V,Sin Dato,ALDEA SPATZENKUTTER,ALDEA SPATZENKUTTER,S,N,N,S,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,S,N,N,N,N,N,N,N
1819,Análisis de Sistemas,2010,2023,,"30,43",7,"8,00","8,00",23,2024,0,Femenino,No tiene,V,V,Casa / Departamento propio,CONCEPCION DEL URUGUAY,CONCEPCION DEL URUGUAY,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,S,S,S,N,N,N
1669,Análisis de Sistemas,2010,2022,,"30,43",7,"7,00","8,14",23,2024,0,Masculino,No tiene,V,V,Sin Dato,ORO VERDE,CONSCRIPTO BERNARDI,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1457,Análisis de Sistemas,2010,2021,,"30,43",7,"6,10","7,43",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,CORDOBA,N,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,S,N,N,S,N,N,N,N
505,Análisis de Sistemas,2010,2015,,"30,43",7,"7,22","8,14",23,2024,4,Masculino,No tiene,V,V,Sin Dato,ORO VERDE,ESQUINA,S,N,N,N,N,Obrero o empleado (asalariado),No trabajó y no buscó trabajo (no esta pensando en trabajar),"Permanente (incluye fijo, estable, de planta)",Más de 10 y hasta 20 horas,Sin relación,COMERCIANTE,N,N,N,N,N,N,N,N
1510,Análisis de Sistemas,2010,2022,,"30,43",7,"5,45","7,29",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,ORO VERDE,GENERAL RAMIREZ,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1466,Análisis de Sistemas,2010,2021,,"30,43",7,"6,56","7,86",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,ORO VERDE,ORO VERDE,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1746,Análisis de Sistemas,2010,2019,,"30,43",7,"9,00","8,57",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,PARANA,PARANA,S,N,S,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1433,Análisis de Sistemas,2010,2021,,"30,43",7,"7,86","7,86",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,PARANA,PARANA,N,N,N,N,N,Pasante,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",35 o más horas,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1415,Análisis de Sistemas,2010,2022,,"30,43",7,"6,88","7,71",23,2024,0,Femenino,No tiene,V,V,Casa / Departamento alquilado,PARANA,PARANA,N,S,S,S,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,S,N,S,S,N
1582,Análisis de Sistemas,2010,2022,,"30,43",7,"8,14","8,14",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1818,Análisis de Sistemas,2010,2023,,"30,43",7,"8,14","8,14",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,S,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1765,Análisis de Sistemas,2010,2023,,"30,43",7,"6,78","8,14",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1507,Análisis de Sistemas,2010,2022,,"30,43",7,"6,67","8,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,S
1350,Análisis de Sistemas,2010,2019,,"30,43",7,"4,25","7,86",23,2024,0,Femenino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
"187,5",Análisis de Sistemas,2010,2023,,"30,43",7,"5,23","7,71",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,DESARROLLADOR DE SOFTWARE,N,N,N,N,N,N,N,N
1735,Análisis de Sistemas,2010,2022,,"30,43",7,"6,67","7,43",23,2024,0,Masculino,No tiene,D,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1944,Análisis de Sistemas,2010,2023,,"30,43",7,"7,00","7,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1938,Análisis de Sistemas,2010,2023,,"30,43",7,"8,29","8,29",23,2024,0,Masculino,No tiene,V,V,Otros,PARANA,PARANA,N,N,S,N,N,Pasante,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Más de 10 y hasta 20 horas,Parcial,Sin Dato,S,N,N,N,N,N,N,N
978,Análisis de Sistemas,2010,2018,,"30,43",7,"8,29","8,29",23,2024,4,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)",Desconoce,Hasta 10 horas,Sin relación,Empleado En Kiosco,N,N,N,N,N,N,N,N
780,Análisis de Sistemas,2010,2017,,"30,43",7,"7,71","7,71",23,2024,4,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1073,Análisis de Sistemas,2010,2018,,"30,43",7,"8,14","8,14",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
660,Análisis de Sistemas,2010,2016,,"30,43",7,"7,33","8,14",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,S,S,N,Cuenta propia / Independiente,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1112,Análisis de Sistemas,2010,2018,,"30,43",7,"7,57","7,57",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
119,Análisis de Sistemas,2010,2013,,"30,43",7,"5,72","7,57",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Cuenta propia / Independiente,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Sin relación,.,N,N,N,N,N,N,N,N
